# ZAP Scanning Rules
# Format: rule_id	rule_name	action	comment

# Ignore common false positives
10035	Strict-Transport-Security Header Not Set	IGNORE	Handled by load balancer
10038	Content Security Policy (CSP) Header Not Set	IGNORE	Will be implemented in next iteration

# High priority rules
90001	Insecure HTTP Method	FAIL	Block insecure HTTP methods
40018	SQL Injection	FAIL	Critical security vulnerability
40019	SQL Injection - Oracle	FAIL	Critical security vulnerability
40020	SQL Injection - MySQL	FAIL	Critical security vulnerability
40021	SQL Injection - PostgreSQL	FAIL	Critical security vulnerability
90019	Code Injection	FAIL	Critical security vulnerability
90020	Command Injection	FAIL	Critical security vulnerability

# Medium priority rules
10095	Backup File Disclosure	WARN	Check for backup file exposure
10098	Cross-Domain Misconfiguration	WARN	Review CORS configuration
40012	Cross Site Scripting (Reflected)	FAIL	XSS vulnerability
40014	Cross Site Scripting (Persistent)	FAIL	XSS vulnerability
40016	Cross Site Scripting (DOM Based)	FAIL	XSS vulnerability
40017	Source Code Disclosure	FAIL	Source code exposure

# Authentication and session management
10040	Secure Flag Missing from Cookie	WARN	Add secure flag to cookies
10041	HttpOnly Flag Missing from Cookie	WARN	Add HttpOnly flag to cookies
90022	Application Error Disclosure	WARN	Avoid error information disclosure

# Information disclosure
10049	Content-Type Header Missing	INFO	Add Content-Type headers
10054	Cookie Without SameSite Attribute	WARN	Add SameSite attribute to cookies
